"ano","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2023","yellow","thursday","1","56068","19.92","4.12"
"2023","green","thursday","2","609","17.74","3.38"
"2023","yellow","thursday","2","30028","18.37","12.01"
"2023","green","thursday","3","382","19.53","4.08"
"2023","yellow","thursday","3","18983","20.73","4.37"
"2023","yellow","thursday","4","18301","28.88","21.45"
"2023","green","thursday","4","389","24.1","77.25"
"2023","yellow","thursday","5","33113","27.14","8.57"
"2023","green","thursday","5","560","23.41","113.06"
"2023","green","thursday","6","1827","17.76","75.51"
"2023","yellow","thursday","6","90294","21.97","6.09"
"2023","green","thursday","7","5048","16.97","21.22"
"2023","yellow","thursday","7","191035","18.55","5.77"
"2023","yellow","thursday","8","261961","18.21","5.26"
"2023","green","thursday","8","6358","17.86","71.24"
"2023","yellow","thursday","9","273456","18.71","3.81"
"2023","green","thursday","9","6623","18.21","24.44"
"2023","yellow","thursday","10","277082","19.31","3.09"
"2023","green","thursday","10","6410","18.91","25.22"
"2023","green","thursday","11","6160","19.17","21.12"
"2023","yellow","thursday","11","293310","19.87","3.61"
"2023","green","thursday","12","6385","19.4","13.52"
"2023","yellow","thursday","12","313280","20.23","3.58"
"2023","yellow","thursday","13","315613","21.02","4.31"
"2023","green","thursday","13","6360","19.01","29.04"
"2023","yellow","thursday","14","343045","21.81","4.07"
"2023","green","thursday","14","7398","19.05","13.24"
"2023","yellow","thursday","15","357134","21.71","4.12"
"2023","green","thursday","15","8178","18.65","17.61"
"2023","green","thursday","16","8930","18.24","3.23"
"2023","yellow","thursday","16","354589","21.82","3.71"
"2023","yellow","thursday","17","397494","20.11","3.88"
"2023","green","thursday","17","9858","17.45","8.12"
"2023","yellow","thursday","18","430520","18.48","3.74"
"2023","green","thursday","18","9726","16.41","7.74"
"2023","yellow","thursday","19","376778","18.31","3.66"
"2023","green","thursday","19","7442","15.98","9.94"
"2023","green","thursday","20","5594","16.86","2.94"
"2023","yellow","thursday","20","347616","18.81","3.59"
"2023","yellow","thursday","21","356861","18.81","3.82"
"2023","green","thursday","21","4784","18.02","23.98"
"2023","yellow","thursday","22","329761","19.46","3.73"
"2023","green","thursday","22","3888","19.15","3.52"
"2023","yellow","thursday","23","254263","20.39","3.98"
"2023","green","thursday","23","2866","19.66","3.56"
"2023","yellow","friday","0","162268","19.64","3.88"
"2023","green","friday","0","1965","19.49","11.29"
"2023","green","friday","1","1218","19.31","3.61"
"2023","yellow","friday","1","92746","18.43","3.74"
"2023","green","friday","2","733","19.6","18.59"
"2023","yellow","friday","2","53137","17.37","3.95"
"2023","green","friday","3","506","19.0","3.59"
"2023","yellow","friday","3","31475","19.29","7.43"
"2023","green","friday","4","442","22.85","4.92"
"2023","yellow","friday","4","25089","27.38","9.79"
"2023","yellow","friday","5","34071","29.04","14.68"
"2023","green","friday","5","558","21.83","148.06"
"2023","green","friday","6","1719","18.11","84.61"
"2023","yellow","friday","6","79221","23.76","11.73"
"2023","green","friday","7","4685","17.68","27.64"
"2023","yellow","friday","7","153515","19.74","7.55"
"2023","yellow","friday","8","205989","18.71","4.2"
"2023","green","friday","8","5614","17.88","21.06"
"2023","yellow","friday","9","230416","19.23","4.17"
